participant_id,mode,round,rx_mean,rx_std,rx_median,rx_min,rx_max,dwell_mean,dwell_std,dwell_median
P005,ENROLL,0,470.95652173913044,131.6452473619617,447.20000000298023,344.40000000596046,1041.7999999970198,78.421739132508,11.86488998638656,79.80000001192093
P005,ENROLL,1,529.8499999997707,148.1597247511486,469.0,374.5,1056.7999999970198,71.86153846176771,9.610934353534875,72.15000000596046
P005,ENROLL,2,548.8833333322158,127.99225128408003,536.3500000014901,323.29999999701977,949.3999999910593,73.7374999995033,10.344556236526811,75.24999999254942
LOCALTEST,ENROLL,0,560.84,151.28507659382666,522.0,399.0,1158.0,65.56,12.655686468935613,68.0
LOCALTEST,ENROLL,1,516.4814814814815,219.21093686732343,440.0,368.0,1435.0,62.0,8.036951697788945,63.0
LOCALTEST,ENROLL,2,547.53125,136.15363206112974,499.5,353.0,853.0,59.1875,11.237319242150239,60.0
CUTIEE,ENROLL,0,761.5384615373152,150.3790673714158,735.5000000149012,568.3000000119209,1205.199999988079,77.17307692422317,11.378980543107982,75.29999999701977
CUTIEE,ENROLL,1,771.2233333339294,222.16413704798617,727.0,578.7999999821186,1734.9000000059605,75.92333333094915,14.327867561575896,74.29999999701977
CUTIEE,ENROLL,2,735.4272727207704,124.93644996104065,695.9500000029802,549.1999999880791,1054.5,77.79545454816385,14.089373089140045,79.3500000089407
MOHSIN,ENROLL,0,907.633333333341,100.35462813893872,913.1499999999069,741.0999999996275,1099.3999999999069,221.0000000000194,6.352755307727713,219.95000000018626
MOHSIN,ENROLL,1,935.4806451613624,191.08612045841298,867.7999999998137,672.2000000001863,1359.9000000003725,218.57096774185138,6.4030332301914585,219.29999999981374
MOHSIN,ENROLL,2,1028.0449999999255,158.31260365175203,1020.6999999999534,721.3999999999069,1426.6999999997206,220.5100000000093,5.9049894156486245,220.5
AAKASH,ENROLL,0,525.9615384615385,145.2002544946993,492.5,335.0,809.0,84.15384615384616,16.815039759993955,82.5
AAKASH,ENROLL,1,456.60869565217394,130.29022424219434,399.0,321.0,734.0,81.52173913043478,15.185432278903503,82.0
AAKASH,ENROLL,2,474.7,136.80975842387852,422.5,335.0,719.0,78.85,16.331794145163602,75.0
KAVITA NAG,ENROLL,0,1114.1041666666279,235.4461730400753,1104.4499999997206,736.1000000005588,1529.699999999255,203.02916666671322,19.30816923749872,199.75000000046566
KAVITA NAG,ENROLL,1,1139.4153846155207,184.5529936242736,1117.450000000652,852.7999999998137,1490.9000000003725,209.6423076922074,21.94652895434072,207.84999999962747
KAVITA NAG,ENROLL,2,1069.3653846152413,160.25482098183798,1022.4999999990687,815.7000000011176,1370.9000000003725,205.08461538465838,25.687286474075954,207.79999999981374
KAVITA NAG,ENROLL,0,1009.7130434784391,173.2229659049474,1031.8999999985099,696.0999999996275,1293.2000000011176,204.947826086584,23.274596518629203,191.90000000037253
KAVITA NAG,ENROLL,1,1181.1461538460392,239.8088312848346,1131.3500000005588,774.0999999996275,1792.0999999996275,202.75769230780693,25.12744703872502,199.75
KAVITA NAG,ENROLL,2,1037.3720000001788,247.91095582081903,1061.0,529.2000000011176,1480.9000000003725,214.75599999964237,24.880821208062162,208.0
SURESH KUM,ENROLL,0,563.6850000003353,91.1561806733693,543.7500000009313,426.30000000074506,770.0,127.66499999966473,20.136217991232794,119.94999999925494
SURESH KUM,ENROLL,1,524.8038461538605,71.6232315166389,520.6999999992549,400.0,672.9000000003725,126.1961538462828,15.079902079775376,127.90000000037253
SURESH KUM,ENROLL,2,570.2678571427906,129.6401063757936,568.75,336.5,1075.0,132.3535714281856,21.43699209534167,127.94999999925494
